subject,duration_n,fixation_n,geco_lexical_ridge_spearman_rho,word_length_only_spearman_rho,lexical_rarity_only_spearman_rho,geco_lexical_ridge_mae_log,geco_fixation_logistic_roc_auc,geco_fixation_logistic_brier
Sub62,2120,2743,0.15797623547788547,0.08816362356485552,0.0852410830660223,0.45527786692795047,0.723326342408916,0.15601426857516656
Sub63,1746,2743,0.16931273002620556,0.2540241117116825,0.24014928284093504,0.4255241463839256,0.6566851183562141,0.22786053598230827
Sub64,1513,2743,0.06652329958193429,0.14049626875281418,0.13016575139654307,0.5193102658007961,0.5884502334778801,0.28232463123713586
Sub65,1772,2743,0.38498892874125534,0.44654761618371924,0.4274789485450567,0.44663666309521743,0.6967706839194426,0.21613577173053228
Sub66,2217,2743,0.2963691769705196,0.41945537723123616,0.41086679140761057,0.49797081851682584,0.6108166929927916,0.15927740583601602
Sub67,2194,2743,0.2815877182292061,0.3233937499739695,0.2970195969224071,0.41438182850213656,0.6508589413419277,0.15699057641806707
Sub68,1535,2743,0.31455855860696746,0.3064687093736587,0.2592408146553375,0.40552867349663474,0.727028280518584,0.25107993273066753
Sub69,2104,2743,0.22345861592788954,0.2828522658553305,0.2800024748198404,0.48330142326568437,0.6482603372665227,0.17095191050020014
Sub70,1814,2743,0.16745849751486533,0.27070150609007,0.25143985284218207,0.44339547994720924,0.6535097192865442,0.21722926713803153
Sub71,1484,2743,0.18457106906078805,0.27773340276908354,0.23496120170819604,0.47934963606706127,0.6343154088407135,0.2779268217671132
Sub72,1794,2743,0.18562661891219967,0.3218263968093381,0.3492161671018554,0.484850915727235,0.6633914946555255,0.21927536373807835
Sub73,1901,2743,0.22089180388181603,0.2582800192822299,0.2446684454126633,0.47785312596446994,0.6418699496826898,0.204406290247007
Sub74,1139,2743,0.1715141242509767,0.11066484443174628,0.12461814797226486,0.6593860664817469,0.6935782799366815,0.32954949699184455
Sub75,1142,2743,0.18269737234314684,0.26377790700215,0.23874756332941718,0.3903994743082896,0.6502011111706671,0.3378396660128409
Sub76,1832,2743,0.2711921249369676,0.39708667534737796,0.38096136645050543,0.48819291679255805,0.7224494772767581,0.20235953486029223
Sub77,1879,2743,0.18662291469733222,0.26646106667754027,0.2118416180409486,0.4750327970373922,0.6441800701712889,0.20870811424657015
Sub78,1518,2743,0.1208408820919302,0.17674863831915896,0.17429792653819956,0.5546928064721779,0.6315022451668414,0.2726078983920124
Sub79,2203,2743,0.3193350155082248,0.417897368241566,0.41383001684248927,0.4566909578435572,0.6532405305896001,0.15420211551482377
Sub80,1865,2743,0.2292410606016576,0.40895632483866307,0.4035887443187616,0.41401887071860105,0.6746548028360825,0.2041790910037389
Sub81,1691,2743,0.11339704618544989,0.18103230836768935,0.15754539001438908,0.44735349908677874,0.5956351901028257,0.24849073650642792
Sub82,1790,2743,0.279811770724288,0.2844140518660611,0.2368912730078086,0.4528307167477264,0.66641742922966,0.21775994590326422
Sub83,2038,2743,0.19945658962747498,0.3036952332275037,0.2958546593926982,0.45687702415984666,0.5796856186359872,0.19210900128925584
Sub84,1376,2743,0.1503415845995135,0.22059085229574857,0.22966733780053136,0.5769871280877102,0.5854448078460727,0.30807562041504305
